hour,time_utc,month,source_year,local_hour,ghi,dni,dhi,t2m
4281,2023-06-28T09:00:00Z,6,2023,5,0.00,0.00,0.00,24.12
4282,2023-06-28T10:00:00Z,6,2023,6,4.62,1.95,6.46,24.13
4283,2023-06-28T11:00:00Z,6,2023,7,62.08,36.70,52.16,25.94
4284,2023-06-28T12:00:00Z,6,2023,8,166.62,50.23,137.34,27.78
4285,2023-06-28T13:00:00Z,6,2023,9,287.20,48.72,240.45,29.42
4286,2023-06-28T14:00:00Z,6,2023,10,389.95,30.99,304.86,30.73
4287,2023-06-28T15:00:00Z,6,2023,11,580.88,215.77,352.40,31.70
4288,2023-06-28T16:00:00Z,6,2023,12,601.38,219.44,327.67,32.30
4289,2023-06-28T17:00:00Z,6,2023,13,597.90,265.59,259.56,32.70
4290,2023-06-28T18:00:00Z,6,2023,14,576.12,274.65,289.30,33.01
4291,2023-06-28T19:00:00Z,6,2023,15,710.70,463.79,272.60,33.14
4292,2023-06-28T20:00:00Z,6,2023,16,608.55,500.06,211.90,32.94
4293,2023-06-28T21:00:00Z,6,2023,17,395.55,313.09,204.15,32.47
4294,2023-06-28T22:00:00Z,6,2023,18,233.05,207.77,152.68,31.67
4295,2023-06-28T23:00:00Z,6,2023,19,82.93,70.50,70.39,30.43
4296,2023-06-29T00:00:00Z,6,2023,20,3.60,1.03,5.44,28.63
